"School Name","Region"
"Matraville Sports High School","NSW"
"Matthew Flinders Anglican College","QLD"
"Matthew Flinders Girls Secondary College","VIC"
"Mawarra Independent School","QLD"
"Mazenod College","VIC"
"Mazenod College","WA"
"Mbunghara School","NT"
"McAuley Catholic Central School","NSW"
"McAuley Catholic College","NSW"
"McAuley College","QLD"
"McCarthy Catholic College","NSW"
"McClelland Secondary College","VIC"
"McGuire College","VIC"
"Mckinnon Secondary College","VIC"
"Meadow Springs Education Support Centre","WA"
"Medowie Christian School","NSW"
"Meekatharra District High School","WA"
"Melba Copland Secondary School","ACT"
"Melba Secondary College","VIC"
"Melbourne Girls College","VIC"
"Melbourne Girls Grammar","VIC"
"Melbourne Grammar School","VIC"
"Melbourne High School","VIC"
"Melbourne Indigenous Transition School","VIC"
"Melbourne Montessori School","VIC"
"Melbourne Rudolf Steiner School","VIC"
"Melrose High School","ACT"
"Melton Christian College","VIC"
"Melton Secondary College","VIC"
"Melton Specialist School","VIC"
"Melville High School","NSW"
"Melville Senior High School","WA"
"Men of Business Academy","QLD"
"Menai High School","NSW"
"Mendooran Central School","NSW"
"Menindee Central School","NSW"
"Meningie Area School","SA"
"Mentone Girls' Grammar School","VIC"
"Mentone Girls Secondary College","VIC"
"Mentone Grammar School","VIC"
"Menzies Community School","WA"
"Merbein P-10 College","VIC"
"Mercedes College","WA"
"Mercedes College","SA"
"Mercy Catholic College","NSW"
"Mercy College","VIC"
"Mercy College","QLD"
"Mercy College","WA"
"Mercy Regional College","VIC"
"Merewether High School","NSW"
"Merici College","ACT"
"Meridan State College","QLD"
"Meriden School","NSW"
"Mernda Central P-12 College","VIC"
"Merredin College","WA"
"Merriang Special Developmental School","VIC"
"Merrimac State High School","QLD"
"Merriwa Central School","NSW"
"Merriwa Education Support Centre","WA"
"Merrylands High School","NSW"
"Methodist Ladies' College","VIC"
"Methodist Ladies' College","WA"
"Miami State High School","QLD"
"Mian School","NSW"
"Mid North Christian College","SA"
"Mid North Education Centre","SA"
"Middle School – Highton","VIC"
"Middlemount Community School","QLD"
"Mildura Christian College","VIC"
"Mildura Senior College","VIC"
"Mildura Specialist School","VIC"
"Miles State High School","QLD"
"Milikapiti School","NT"
"Milingimbi School","NT"
"Milkwood Steiner School","NT"
"Mill Park Secondary College","VIC"
"Miller High School","NSW"
"Millicent High School","SA"
"Millmerran State School","QLD"
"Milpera State High School","QLD"
"Miltaburra Area School","SA"
"Milyakburra School","NT"
"Mimili Anangu School","SA"
"Minaret College","VIC"
"Mindarie Senior College","WA"
"Minerva School","NSW"
"Minlaton District School","SA"
"Mintabie Area School","SA"
"Minyerri School","NT"
"Mirani State High School","QLD"
"Mirboo North Secondary College","VIC"
"Miriam Vale State School","QLD"
"Mitcham Girls High School","SA"
"Mitchell High School","NSW"
"Mitchell State School","QLD"
"Mitchelton Special School","QLD"
"Mitchelton State High School","QLD"
"MLC School","NSW"
"Moama Anglican Grammar School","NSW"
"Modbury High School","SA"
"Modbury Special School","SA"
"Model Farms High School","NSW"
"Molong Central School","NSW"
"Monaro High School","NSW"
"Monash Special Developmental School","VIC"
"Monbulk College","VIC"
"Monivae College","VIC"
"Montague Continuing Education Centre","VIC"
"Monte Sant' Angelo Mercy College","NSW"
"Monterey Secondary College","VIC"
"Montessori International College","QLD"
"Montessori Noosa","QLD"
"Montgrove College","NSW"
"Montmorency Secondary College","VIC"
"Monto State High School","QLD"
"Montrose Bay High School","TAS"
"Moonta Area School","SA"
"Moorebank High School","NSW"
"Moorefield Girls High School","NSW"
"Mooroolbark College","VIC"
"Mooroopna Secondary College","VIC"
"Moranbah State High School","QLD"
"Morawa District High School","WA"
"Morayfield State High School","QLD"
"Mordialloc College","VIC"
"Moree Christian School","NSW"
"Moree Secondary College Albert St Campus","NSW"
"Moree Secondary College Carol Ave Campus","NSW"
"Moreton Bay Boys' College","QLD"
"Moreton Bay College","QLD"
"Moriah College","NSW"
"Morisset High School","NSW"
"Morley Senior High School","WA"
"Mornington Island State School","QLD"
"Mornington Secondary College","VIC"
"Mornington Special Developmental School","VIC"
"Mortlake P-12 College","VIC"
"Moruya High School","NSW"
"Mosman High School","NSW"
"Mosman Park School For Deaf Children","WA"
"Moss Vale High School","NSW"
"Mossman State High School","QLD"
"Mother Teresa Catholic College","WA"
"Mount Alexander 7-12 College","VIC"
"Mount Allan School","NT"
"Mount Alvernia College","QLD"
"Mount Annan Christian College","NSW"
"Mount Annan High School","NSW"
"Mount Austin High School","NSW"
"Mount Barker Community College","WA"
"Mount Barker High School","SA"
"Mount Barker Waldorf School","SA"
"Mount Beauty Secondary College","VIC"
"Mount Carmel Catholic College","NSW"
"Mount Carmel College","TAS"
"Mount Carmel College","SA"
"Mount Clear College","VIC"
"Mount Compass Area School","SA"
"Mount Eliza Secondary College","VIC"
"Mount Erin Secondary College","VIC"
"Mount Evelyn Christian School","VIC"
"Mount Gambier High School","SA"
"Mount Gravatt State High School","QLD"
"Mount Hawthorn Education Support Centre","WA"
"Mount Isa Flexible Learning Centre","QLD"
"Mount Isa School of the Air","QLD"
"Mount Isa Special School","QLD"
"Mount Larcom State School","QLD"
"Mount Lawley Senior High School","WA"
"Mount Lilydale Mercy College","VIC"
"Mount Magnet District High School","WA"
"Mount Morgan State High School","QLD"
"Mount Ommaney Special School","QLD"
"Mount Ridley P-12 College","VIC"
"Mount Rowan Secondary College","VIC"
"Mount Scopus Memorial College","VIC"
"Mount St Benedict College","NSW"
"Mount St Bernard College","QLD"
"Mount St Joseph Girls' College","VIC"
"Mount St Joseph Milperra","NSW"
"Mount St Patrick College","NSW"
"Mount Stromlo High School","ACT"
"Mount View High School","NSW"
"Mount Waverley Secondary College","VIC"
"Mountain Creek State High School","QLD"
"Mountain District Christian School","VIC"
"Mountain Heights School","TAS"
"Mountain View Adventist College","NSW"
"Mountains Christian College","NSW"
"Moura State High School","QLD"
"Mt Hira College","VIC"
"Mt Maria College","QLD"
"Mt Maria College - Petrie","QLD"
"Mt St Michael's College","QLD"
"Mudgee High School","NSW"
"Mudgeeraba Special School","QLD"
"Mueller College","QLD"
"Muirden Senior College","SA"
"Muirfield High School","NSW"
"Mukinbudin District High School","WA"
"Mulga Bore School","NT"
"Mullauna Secondary College","VIC"
"Mullewa District High School","WA"
"Mullumbimby High School","NSW"
"Mulwaree High School","NSW"
"Mundubbera State School","QLD"
"Mungalla Silver Lining School","QLD"
"Mungindi Central School","NSW"
"Murgon State High School","QLD"
"Murputja Anangu School","SA"
"Murray Bridge High School","SA"
"Murray Bridge Special School","SA"
"Murray Downs School","NT"
"Murray High School","NSW"
"Murrayville Community College","VIC"
"Murrumba State Secondary College","QLD"
"Murrumbidgee Regional High School","NSW"
"Murrumburrah High School","NSW"
"Murtoa College","VIC"
"Murwillumbah High School","NSW"
"Music Industry College","QLD"
"Muswellbrook High School","NSW"
"Mutitjulu School","NT"
"Myrtleford P-12 College","VIC"
"Nagle Catholic College","WA"
"Nagle College","NSW"
"Nagle College","VIC"
"Namadgi School","ACT"
"Nambour Christian College","QLD"
"Nambour Special School","QLD"
"Nambour State College","QLD"
"Nambucca Heads High School","NSW"
"Nambucca Valley Christian Community School","NSW"
"Nanango State High School","QLD"
"Nannup District High School","WA"
"Naracoorte High School","SA"
"Naranga Special School","VIC"
"Narangba Valley State High School","QLD"
"Narara Valley High School","NSW"
"Narbethong State Special School","QLD"
"Narembeen District High School","WA"
"Naremburn School","NSW"
"Narooma High School","NSW"
"Narrabeen Sports High School","NSW"
"Narrabri High School","NSW"
"Narrabundah College","ACT"
"Narrandera High School","NSW"
"Narre Warren South P-12 College","VIC"
"Narrogin Senior High School","WA"
"Narromine High School","NSW"
"Nathalia Secondary College","VIC"
"Nautilus Senior College","NSW"
"Navigator College","SA"
"Nawarddeken Academy","NT"
"Nazareth Catholic College - Primary Campus","SA"
"Nazareth College","VIC"
"Neerim District Secondary College","VIC"
"Nelson Park School","VIC"
"Nemarluk School","NT"
"Nepean Christian School","NSW"
"Nepean Creative and Performing Arts High School","NSW"
"Nepean Special School","VIC"
"Nerang State High School","QLD"
"Neutral Junction School","NT"
"New England Girls' School","NSW"
"New Hope School","NSW"
"New Madinah College","NSW"
"New Norfolk High School","TAS"
"New Town High School","TAS"
"Newcastle Grammar School","NSW"
"Newcastle High School","NSW"
"Newcastle Junior School","NSW"
"Newcastle Middle School","NSW"
"Newcastle Senior School","NSW"
"Newcastle Waldorf School","NSW"
"Newcastle Waters School","NT"
"Newcomb Secondary College","VIC"
"Newhaven College","VIC"
"Newington College","NSW"
"Newman College","WA"
"Newman Senior High School","WA"
"Newman Senior Technical College","NSW"
"Newstead Christian School","TAS"
"Newstead College","TAS"
"Newton Moore Education Support Centre","WA"
"Newton Moore Senior High School","WA"
"Newtown High School of Performing Arts","NSW"
"Ngaanyatjarra Lands School","WA"
"Ngalangangpum School","WA"
"Ngalapita Remote Community School","WA"
"Nganambala School","NT"
"Nganmarriyanga School","NT"
"Ngaruki Gulgul","NSW"
"Ngukurr School","NT"
"Nhill College","VIC"
"Nhulunbuy Christian College","NT"
"Nhulunbuy High School","NT"
"Nightcliff Middle School","NT"
"Niland School","NSW"
"Nimbin Central School","NSW"
"Noble Park English Language School","VIC"
"Noble Park Secondary College","VIC"
"Noosa Christian College","QLD"
"Noosa District State High School","QLD"
"Noosa Flexible Learning Centre","QLD"
"Noosa Pengari Steiner School","QLD"
"Norfolk Island Central School","NSW"
"Normanhurst Boys High School","NSW"
"Normanton State School","QLD"
"Norree School","NSW"
"Norseman District High School","WA"
"North Albany Senior High School","WA"
"North East Metropolitan Language Development Centre","WA"
"North Geelong Secondary College","VIC"
"North Gosford Learning Centre","NSW"
"North Lake Senior Campus","WA"
"North Lakes State College","QLD"
"North Rockhampton State High School","QLD"
"North Sydney Boys High School","NSW"
"North Sydney Girls High School","NSW"
"North West Christian School","TAS"
"North West Support School","TAS"
"Northam Senior High School","WA"
"Northampton District High School","WA"
"Northcliffe District High School","WA"
"Northcote High School","VIC"
"Northern Adelaide Senior College","SA"
"Northern Bay P-12 College","VIC"
"Northern Beaches Catholic College - Sub campus","QLD"
"Northern Beaches Christian School","NSW"
"Northern Beaches Secondary College Balgowlah Boys Campus","NSW"
"Northern Beaches Secondary College Cromer Campus","NSW"
"Northern Beaches Secondary College Freshwater Senior Campus","NSW"
"Northern Beaches Secondary College Mackellar Girls Campus","NSW"
"Northern Beaches Secondary College Manly Campus","NSW"
"Northern Beaches State High School","QLD"
"Northern College of the Arts and Technology","VIC"
"Northern Peninsula Area State College","QLD"
"Northern School For Autism","VIC"
"Northern Support School","TAS"
"Northern Territory School of Distance Education","NT"
"Northholm Grammar School","NSW"
"Northlakes High School","NSW"
"Northmead Creative and Performing Arts High School","NSW"
"Northpine Christian College","QLD"
"Northshore Christian Grammar School","WA"
"Northside Christian College","VIC"
"Northside Christian College","QLD"
"Norwest Christian College","NSW"
"Norwood Morialta High School","SA"
"Norwood Secondary College","VIC"
"Nossal High School","VIC"
"Notre Dame College","VIC"
"Nowra Anglican College","NSW"
"Nowra Christian School","NSW"
"Nowra High School","NSW"
"NSW School of Languages","NSW"
"NT Christian College","NT"
"Ntaria School","NT"
"Nullagine Primary School","WA"
"Numbulwar School","NT"
"Numurkah Secondary College","VIC"
"Nunawading Christian College - Secondary","VIC"
"Nuriootpa High School","SA"
"Nursery Road State Special School","QLD"
"Nyangatjatjara College","NT"
"Nyikina Mangala Community School","WA"
"Nyirripi School","NT"
"Nyngan High School","NSW"
"Oak Flats High School","NSW"
"Oak Valley Aboriginal School","SA"
"Oakbank Area School","SA"
"Oakey State High School","QLD"
"Oakhill College Castle Hill","NSW"
"Oaklands Central School","NSW"
"Oakleigh Grammar","VIC"
"Oakwood School","VIC"
"Oasis College Surry Hills","NSW"
"Oatlands District High School","TAS"
"Oberon High School","NSW"
"Oberon High School","VIC"
"Observatory Hill Environmental Education Centre","NSW"
"Ocean Reef Senior High School","WA"
"Ocean View P-12 College","SA"
"O'Connor Catholic College","NSW"
"O'Connor Education Support Centre","WA"
"Odyssey House, Progressive Learning Centre","NSW"
"Officer Secondary College","VIC"
"Officer Specialist School","VIC"
"Ogilvie High School","TAS"
"Olivet Christian College","VIC"
"O'Loughlin Catholic College","NT"
"One Arm Point Remote Community School","WA"
"OneSchool Global - Hobart Campus","TAS"
"OneSchool Global NSW","NSW"
"OneSchool Global QLD - Wakerley","QLD"
"OneSchool Global SA - Aberfoyle Campus","SA"
"OneSchool Global Vic","VIC"
"OneSchool Global WA","WA"
"Onslow Primary School","WA"
"Ontrack College Emerald","QLD"
"Oodnadatta Aboriginal School","SA"
"Open Access College","SA"
"Oran Park Anglican College","NSW"
"Oran Park High School","NSW"
"Orana Steiner School","ACT"
"Orange Anglican Grammar School","NSW"
"Orange Christian School","NSW"
"Orange High School","NSW"
"Orara High School","NSW"
"Orbost Secondary College","VIC"
"Ormeau Woods State High School","QLD"
"Ormiston College","QLD"
"Orroroo Area School","SA"
"Our Lady of La Vang School","SA"
"Our Lady of Mercy Catholic College Burraneer","NSW"
"Our Lady of Mercy College","VIC"
"Our Lady of Mercy College Parramatta","NSW"
"Our Lady of Sion College","VIC"
"Our Lady of the Sacred Heart Catholic College","NT"
"Our Lady of the Sacred Heart College","NSW"
"Our Lady of the Sacred Heart College","VIC"
"Our Lady of the Sacred Heart College","SA"
"Our Lady of the Sacred Heart Thamarrurr Catholic College","NT"
"Our Lady of the Southern Cross College","QLD"
"Our Lady's College","QLD"
"Outdoor School","VIC"
"Ouyen P-12 College","VIC"
"Overnewton Anglican Community College","VIC"
"Oxford College, Sydney","NSW"
"Oxford Falls Grammar School","NSW"
"Oxley Christian College","VIC"
"Oxley College","NSW"
"Oxley High School","NSW"
"Ozford College","VIC"
"Pacific Brook Christian School","NSW"
"Pacific Coast Christian School","NSW"
"Pacific Hills Christian School","NSW"
"Pacific Hope School","NSW"
"Pacific Lutheran College","QLD"
"Pacific Pines State High School","QLD"
"Pacific Valley Christian School","NSW"
"Padua College","VIC"
"Padua College","QLD"
"Pakenham Secondary College","VIC"
"Pal Buddhist School","NSW"
"Palm Avenue School","NSW"
"Palm Beach-Currumbin State High School","QLD"
"Palmerston Christian School","NT"
"Palmerston College","NT"
"Pambula Beach Flexible Learning Centre","NSW"
"Pannawonica Primary School","WA"
"Papunya School","NT"
"Para Hills High School","SA"
"Para Meadows School","NSW"
"Parade College","VIC"
"Parafield Gardens High School","SA"
"Paralowie School","SA"
"Park Ridge State High School","QLD"
"Parkdale Secondary College","VIC"
"Parkes Christian School","NSW"
"Parkes High School","NSW"
"Parklands Christian College","QLD"
"Parklands High School","TAS"
"Parkville College","VIC"
"Parnngurr Community School","WA"
"Parramatta High School","NSW"
"Parramatta Marist High School","NSW"
"Parry School","NSW"
"Pascoe Vale Girls Secondary College","VIC"
"Passfield Park School","NSW"
"Patrician Brothers' College Blacktown","NSW"
"Patrician Brothers' College Fairfield","NSW"
"Patterson River Secondary College","VIC"
"Peace Lutheran College","QLD"
"Peak Hill Central School","NSW"
"Pedare Christian College","SA"
"Peel High School","NSW"
"Peel Language Development School","WA"
"Pemberton District High School","WA"
"Pembroke School - Middle School Campus","SA"
"Pendle Hill High School","NSW"
"Penguin District School","TAS"
"Peninsula Grammar","VIC"
"Peninsula Specialist College","VIC"
"Penleigh & Essendon Grammar School","VIC"
"Pennant Hills High School","NSW"
"Penola Catholic College","VIC"
"Penola Catholic College Emu Plains","NSW"
"Penola High School","SA"
"Penrhos College","WA"
"Penrith Anglican College","NSW"
"Penrith Christian School","NSW"
"Penrith High School","NSW"
"Penrith Lakes Environmental Education Centre","NSW"
"Penrith Valley Learning Centre","NSW"
"Peppimenarti School","NT"
"Peregian Beach College","QLD"
"Perth College","WA"
"Perth Individual","WA"
"Perth Modern School","WA"
"Perth Waldorf School","WA"
"Peter Carnley Anglican Community School","WA"
"Peter Lalor Secondary College","VIC"
"Peter Moyes Anglican Community School","WA"
"Peterborough High School","SA"
"Peterborough School","NSW"
"Pete's Place","NSW"
"Phoenix P-12 Community College","VIC"
"Pia Wadjarri Remote Community School","WA"
"Picnic Point High School","NSW"
"Picton High School","NSW"
"Pimlico State High School","QLD"
"Pimpama State Secondary College","QLD"
"Pine Creek School","NT"
"Pine Rivers Special School","QLD"
"Pine Rivers State High School","QLD"
"Pinjarra Senior High School","WA"
"Pinnacle College - Elizabeth East Campus","SA"
"Pioneer State High School","QLD"
"Pipalyatjara Anangu School","SA"
"Pittsworth State High School","QLD"
"Pittwater High School","NSW"
"Pittwater House Schools","NSW"
"Playford College","SA"
"Playford International College","SA"
"PLC Armidale","NSW"
"Plenty Valley Christian College","VIC"
"Plumpton High School","NSW"
"Plumpton House School","NSW"
"Plympton International College","SA"
"Point Cook Prep - Year 9 College","VIC"
"Point Cook Senior Secondary College","VIC"
"Port Augusta Secondary School","SA"
"Port Augusta Special School","SA"
"Port Broughton Area School","SA"
"Port Dalrymple School","TAS"
"Port Hacking High School","NSW"
"Port Lincoln High School","SA"
"Port Lincoln Special School","SA"
"Port Phillip Specialist School","VIC"
"Port School","WA"
"Portland Bay School","VIC"
"Portland Central School","NSW"
"Portland Secondary College","VIC"
"Portside Christian College","SA"
"Prahran High School","VIC"
"Prairiewood High School","NSW"
"Prendiville Catholic College","WA"
"Presbyterian Ladies' College","VIC"
"Presbyterian Ladies' College","WA"
"Presbyterian Ladies' College Sydney","NSW"
"Prescott College","SA"
"Prescott College Southern","SA"
"Presentation College Windsor","VIC"
"Preshil, The Margaret Lyttle Memorial School","VIC"
"Preston High School","VIC"
"Preston Reservoir Adult Community Education Inc | PRACE College","VIC"
"Prince Alfred College","SA"
"Princes Hill Secondary College","VIC"
"Proserpine State High School","QLD"
"Prospect High School","TAS"
"Proston State School","QLD"
"Providence Christian College","WA"
"Pularumpi School","NT"
"Pulteney Grammar School","SA"
"Punchbowl Boys High School","NSW"
"Purnululu Aboriginal Independent Community School","WA"
"Putland School","NSW"
"Pymble Ladies' College","NSW"
"Pyramid Hill College","VIC"
"Quairading District High School","WA"
"Quakers Hill High School","NSW"
"Queanbeyan High School","NSW"
"Queechy High School","TAS"
"Queensland Academy for Creative Industries","QLD"
"Queensland Academy for Health Sciences","QLD"
"Queensland Academy for Science Mathematics and Technology","QLD"
"Queensland Children's Hospital School","QLD"
"Queensland Pathways State College","QLD"
"Queenwood","NSW"
"Quilpie State College","QLD"
"Quinalow Prep-10 State School","QLD"
"Quinns Baptist College","WA"
"Quirindi High School","NSW"
"Quorn Area School","SA"
"Radford College","ACT"
"Radiant Life College","QLD"
"Rainbow P-12 College","VIC"
"Rainbow Ridge School for Steiner Education","NSW"
"Ramingining School","NT"
"Randwick Boys High School","NSW"
"Randwick Girls High School","NSW"
"Ravenshoe State School","QLD"
"Ravensthorpe District High School","WA"
"Ravenswood School for Girls","NSW"
"Rawa Community School","WA"
"Red Bend Catholic College","NSW"
"Red Cliffs Secondary College","VIC"
"Red Hill Environmental Education Centre","NSW"
"Red Hill Special School","QLD"
"Red Rock Christian College","VIC"
"Redbank Plains State High School","QLD"
"Redbank School","NSW"
"Redcliffe Special School","QLD"
"Redcliffe State High School","QLD"
"Reddam House","NSW"
"Redeemer Baptist School","NSW"
"Redeemer Lutheran College","QLD"
"Redeemer Lutheran College, Biloela","QLD"
"Redfern Jarjum College","NSW"
"Redfield College","NSW"
"Redland District Special School","QLD"
"Redlands College","QLD"
"Redlynch State College","QLD"
"Redwood College","QLD"
"Reece High School","TAS"
"Regents Park Christian School","NSW"
"Rehoboth Christian College","WA"
"Renmark High School","SA"
"Reservoir High School","VIC"
"Reynella East College","SA"
"Richard Johnson Anglican School","NSW"
"Richmond Christian College","NSW"
"Richmond High School","NSW"
"Richmond High School","VIC"
"Richmond State School","QLD"
"RIDBC Alice Betteridge School","NSW"
"RIDBC Garfield Barwick School","NSW"
"RIDBC Thomas Pattison School","NSW"
"Ridge View Secondary College","WA"
"Ringwood Secondary College","VIC"
"Ripley Valley State Secondary College","QLD"
"Rissalah College","NSW"
"Rivendell School","NSW"
"River City Christian College","VIC"
"River Nile School","VIC"
"Rivergum Christian College","SA"
"Riverina Environmental Education Centre","NSW"
"Riverland Special School","SA"
"Rivermount College","QLD"
"Riverside Christian College","QLD"
"Riverside Education Support Centre","WA"
"Riverside Girls High School","NSW"
"Riverside High School","TAS"
"Riverstone High School","NSW"
"Riverton and District High School","SA"
"Riverton Education Support Centre","WA"
"Robert Townson High School","NSW"
"Robina State High School","QLD"
"Robinson River School","NT"
"Robinvale College","VIC"
"Rochedale State High School","QLD"
"Rochester Secondary College","VIC"
"Rockhampton Downs School","NT"
"Rockhampton Flexible Learning Centre","QLD"
"Rockhampton Girls Grammar School","QLD"
"Rockhampton North Special School","QLD"
"Rockhampton Special School","QLD"
"Rockhampton State High School","QLD"
"Rockingham Beach Education Support Centre","WA"
"Rockingham Senior High School","WA"
"Rockingham Senior High School Education Support Centre","WA"
"Roebourne District High School","WA"
"Roleystone Community College","WA"
"Roma Mitchell Secondary College","SA"
"Roma State College","QLD"
"Rooty Hill High School","NSW"
"Rosamond Special School","VIC"
"Rose Bay High School","TAS"
"Rose Bay Secondary College","NSW"
"Rosebank College","NSW"
"Rosebery District High School","TAS"
"Rosebud Secondary College","VIC"
"Rosedale State School","QLD"
"Rosehill Secondary College","VIC"
"Rosella Park School","QLD"
"Roseville College","NSW"
"Rosewood State High School","QLD"
"Roseworth Education Support Centre","WA"
"Rosny College","TAS"
"Rossbourne School","VIC"
"Rossmoyne Senior High School","WA"
"Rostrevor College","SA"
"Rouse Hill Anglican College","NSW"
"Rouse Hill High School","NSW"
"Rowland Hassall School","NSW"
"Rowville Secondary College","VIC"
"Roxburgh College","VIC"
"Roxby Downs Area School","SA"
"Royal Childrens Hospital Education Institute","VIC"
"Royal Far West School","NSW"
"Royal National Park Environmental Education Centre","NSW"
"Royal North Shore Hospital School","NSW"
"Royal Prince Alfred Hospital School","NSW"
"Rubicon Outdoor Centre","VIC"
"Rumbalara Environmental Education Centre","NSW"
"Runcorn State High School","QLD"
"Rushworth P-12 College","VIC"
"Rutherford Technology High School","NSW"
"Rutherglen High School","VIC"
"Ruyton Girls' School","VIC"
"Ryan Catholic College","QLD"
"Ryde Secondary College","NSW"
"SA School for Vision Impaired","SA"
"Sacre Coeur","VIC"
"Sacred Heart Central School","NSW"
"Sacred Heart College","TAS"
"Sacred Heart College","SA"
"Sacred Heart College","VIC"
"Sacred Heart College","VIC"
"Sacred Heart College","VIC"
"Sacred Heart College","WA"
"Sacred Heart Girls' College","VIC"
"Sacred Heart School","WA"
"Safety Bay Senior High School","WA"
"Saint Ignatius' College - Senior School Campus","SA"
"Saint Ignatius College Geelong","VIC"
"Saint Mary MacKillop College Albury","NSW"
"Saint Mary MacKillop Colleges Limited","NSW"
"Saint Mary's Catholic College","QLD"
"Saint Stephen's College","QLD"
"Salamah College","NSW"
"Sale and District Specialist School","VIC"
"Sale College","VIC"
"Salesian College","VIC"
"Salesian College","VIC"
"Salisbury East High School","SA"
"Salisbury High School","SA"
"Saltwater P-9 College","VIC"
"Salvado Catholic College","WA"
"Samaritan College","SA"
"Samford Valley Steiner School","QLD"
"San Clemente High School","NSW"
"San Sisto College","QLD"
"Sanderson Middle School","NT"
"Sandgate District State High School","QLD"
"Sandringham College","VIC"
"Santa Maria College","VIC"
"Santa Maria College","WA"
"Santa Sabina College","NSW"
"Santa Sophia Catholic College (Secondary)","NSW"
"Sapphire Coast Anglican College","NSW"
"Sarah Redfern High School","NSW"
"Sarina State High School","QLD"
"Sattler Christian College","NT"
"SCECGS Redlands","NSW"
"SCEGGS Darlinghurst","NSW"
"School Of Isolated and Distance Education","WA"
"School Of Special Education Needs: Medical And Mental Health","WA"
"School of Special Education Needs: Sensory","WA"
"School of Special Educational Needs: Behaviour and Engagement","WA"
"Scone Grammar School","NSW"
"Scone High School","NSW"
"Scoresby Secondary College","VIC"
"Scotch College","VIC"
"Scotch College","WA"
"Scotch College - Torrens Park Campus","SA"
"Scotch Oakburn College","TAS"
"Scots All Saints College","NSW"
"Scottsdale High School","TAS"
"Seaford Secondary College","SA"
"Seaton High School","SA"
"Seaview Christian College","SA"
"Seaview High School","SA"
"SEDA College (Victoria)","VIC"
"SEDA College NSW","NSW"
"SEDA College SA","SA"
"Sefton High School","NSW"
"Servite College","WA"
"Seton Catholic College","WA"
"Seton College","QLD"
"Seven Hills High School","NSW"
"Sevenoaks Senior College","WA"
"Seymour College","VIC"
"Seymour College","SA"
"Shailer Park State High School","QLD"
"Shalom Christian College Condon Campus","QLD"
"Shalom College","QLD"
"Shark Bay School","WA"
"Shearwater, the Mullumbimby Steiner School","NSW"
"Sheffield School","TAS"
"Sheldon College","QLD"
"Shelford Girls' Grammar","VIC"
"Shellharbour Anglican College","NSW"
"Shenton College","WA"
"Shenton College Deaf Education Centre","WA"
"Shepherds Park School","NSW"
"Shepherdson College","NT"
"Shepparton ACE Secondary College","VIC"
"Shepparton Christian College","VIC"
"Shepparton High School","VIC"
"Sherbrooke Community School","VIC"
"Sherwood Hills Christian School","NSW"
"Shire Christian School","NSW"
"Shoalhaven High School","NSW"
"Shoalhaven River College","NSW"
"SHORE - Sydney Church of England Grammar School","NSW"
"Siena Catholic College","QLD"
"Siena College Ltd","VIC"
"Silkwood School","QLD"
"Silver Lining School","QLD"
"Simonds Catholic College","VIC"
"Singleton High School","NSW"
"Sir David Brand School","WA"
"Sir Eric Woodward Memorial School","NSW"
"Sir Joseph Banks High School","NSW"
"Sirius College","VIC"
"Skene Street School Stawell","VIC"
"Skillset Senior College","NSW"
"Smiths Hill High School","NSW"
"Smithton High School","TAS"
"SMYL Community College","WA"
"Snowy Mountains Christian School","NSW"
"Snowy Mountains Grammar School","NSW"
"Snowy Valleys School","NSW"
"Somerset College","QLD"
"Somerville House","QLD"
"Somerville Secondary College","VIC"
"Sophia Mundi Steiner School","VIC"
"Sorell School","TAS"
"South Australian International School","SA"
"South Ballajura Education Support Centre","WA"
"South Bunbury Education Support Centre","WA"
"South Coast Baptist College","WA"
"South East Metropolitan Language Development Centre","WA"
"South Gippsland Specialist School","VIC"
"South Grafton High School","NSW"
"South Oakleigh Secondary College","VIC"
"South Sydney High School","NSW"
"Southern Autistic School","VIC"
"Southern Christian College","TAS"
"Southern Cross Baptist Church Christian School","NSW"
"Southern Cross Catholic College","QLD"
"Southern Cross Catholic College","QLD"
"Southern Cross Catholic Vocational College","NSW"
"Southern Cross District High School","WA"
"Southern Cross Grammar","VIC"
"Southern Cross School of Distance Education","NSW"
"Southern Highlands Christian School","NSW"
"Southern Hills Christian College","WA"
"Southern River College","WA"
"Southern Support School","TAS"
"Southern Vales Christian College - Morphett Vale Campus","SA"
"Southport Flexible Learning Centre","QLD"
"Southport Special School","QLD"
"Southport State High School","QLD"
"South-West John Calvin Christian College","WA"
"Sovereign Hill School","VIC"
"Sowilo Community High School","WA"
"Specialised Assistance School For Youth (SASY)","SA"
"Spencer Park Education Support Centre","WA"
"Spinifex State College - Mount Isa Education and Training Precinct","QLD"
"Springbank Secondary College","SA"
"Springfield Central State High School","QLD"
"Springside West Secondary College","VIC"
"Springsure State School","QLD"
"Springvale Park Special Developmental School","VIC"
"Springwood High School","NSW"
"Springwood State High School","QLD"
"St Agnes Catholic High School","NSW"
"St Aidan's Anglican Girls School","QLD"
"St Albans Secondary College","VIC"
"St Aloysius Catholic College","TAS"
"St Aloysius College","VIC"
"St Aloysius College","SA"
"St Aloysius' College","NSW"
"St Andrew's Anglican College","QLD"
"St Andrew's Cathedral School","NSW"
"St Andrew's Catholic College Redlynch Valley","QLD"
"St Andrews Christian College","VIC"
"St Andrew's Christian School","NSW"
"St Andrews College","NSW"
"St Andrew's Grammar","WA"
"St Andrews Lutheran College","QLD"
