"School Name","Region"
"Cessnock High School","NSW"
"Chaffey Secondary College","VIC"
"Chairo Christian School","VIC"
"Chalmers Road School","NSW"
"Champagnat Catholic College","NSW"
"Champion Bay Senior High School","WA"
"Chancellor State College","QLD"
"Chanel College","QLD"
"Charles Campbell College","SA"
"Charles La Trobe P-12 College","VIC"
"Charleville School of Distance Education","QLD"
"Charleville State High School","QLD"
"Charlotte Mason College","QLD"
"Charlton Christian College","NSW"
"Charlton College","VIC"
"Charters Towers School of Distance Education","QLD"
"Charters Towers State High School","QLD"
"Chatham High School","NSW"
"Chatswood High School","NSW"
"Cheder Levi Yitzchok Inc","VIC"
"Cheltenham Girls High School","NSW"
"Cheltenham Secondary College","VIC"
"Cherrybrook Technology High School","NSW"
"Cheshire School","VIC"
"Chester Hill High School","NSW"
"Chevalier College","NSW"
"Chifley College Bidwill Campus","NSW"
"Chifley College Dunheved Campus","NSW"
"Chifley College Mount Druitt Campus","NSW"
"Chifley College Senior Campus","NSW"
"Chifley College Shalvey Campus","NSW"
"Child Side School","WA"
"Chinchilla Christian College","QLD"
"Chinchilla State High School","QLD"
"Chisholm Catholic College","QLD"
"Chisholm Catholic College","WA"
"Christ Church Grammar School","WA"
"Christ the King Catholic School","WA"
"Christadelphian Heritage College Sydney","NSW"
"Christian Aboriginal Parent-Directed School","WA"
"Christian Brothers' College","VIC"
"Christian Brothers' College","WA"
"Christian Brothers' College","SA"
"Christian Brothers High School Lewisham","NSW"
"Christian College Bellarine","VIC"
"Christian College Institute of Senior Education","VIC"
"Christies Beach High School and Southern Vocational College","SA"
"Christmas Island District High School","WA"
"Chrysalis School for Rudolf Steiner Education","NSW"
"Churchlands Senior High School","WA"
"Circular Head Christian School","TAS"
"Cire Community School","VIC"
"Citipointe Christian College","QLD"
"Clairvaux MacKillop College","QLD"
"Clancy Catholic College","NSW"
"Clare High School","SA"
"Claremont College","TAS"
"Claremont Special School","QLD"
"Clarence High School","TAS"
"Clarence Valley Anglican School","NSW"
"Clarke Road School","NSW"
